Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENST00000515367.6,641.1105611265313,0.6744115301383475,0.12433246928401999,5.424259117686705,5.819541036314797e-08,2.2731603741497693e-05
ENST00000608317.2,137.85187543932423,-0.8535432466472251,0.15739064625268834,-5.423087502143388,5.857829878725017e-08,2.2748133076718532e-05
ENST00000683244.1,35.28332957200812,-8.300342345540557,1.5340393330968554,-5.410775438713274,6.275242266664115e-08,2.422823884159323e-05
ENST00000566497.5,688.3128145265582,0.8452275587379424,0.15636155523633227,5.405597030935292,6.459287103964499e-08,2.465711202447785e-05
ENST00000377103.3,12.966176969746181,5.90509342343232,1.092408411874605,5.405573006618474,6.460153014168374e-08,2.465711202447785e-05
ENST00000448120.7,308.55462278383624,-0.7708882970093798,0.14277994704997574,-5.3991356134874735,6.696274319067664e-08,2.5413121981125317e-05
ENST00000527521.1,304.06808706805407,-1.0844564848104277,0.20093154860411436,-5.397143914652643,6.771007601929663e-08,2.555156394142881e-05
ENST00000422318.7,986.0919931328293,0.4730872836044904,0.08788903154287607,5.382779572143743,7.334433413480469e-08,2.7522255360674966e-05
ENST00000273064.11,105.37013380558246,0.949728451757116,0.17689433318884273,5.368902636034347,7.921716897004054e-08,2.928355289724577e-05
ENST00000267996.11,6973.817322722761,-1.3209536184026816,0.24597387498046247,-5.37030047807965,7.86055582750801e-08,2.928355289724577e-05
ENST00000695856.1,1101.7345200085213,1.3729241820715998,0.2557325893839784,5.368592971974236,7.935328134864635e-08,2.928355289724577e-05
ENST00000371222.4,205.557797179032,2.053963067921109,0.3832834374984506,5.358862050827366,8.374776887310201e-08,3.073543117642844e-05
ENST00000618838.4,612.1046540501138,-0.42943583681429937,0.0801868747899512,-5.355438005773422,8.534940732861084e-08,3.1152067284738974e-05
ENST00000397554.5,87.0979961025239,-0.9948480866659003,0.1860940235726445,-5.34594323647125,8.994739605240016e-08,3.265188245610878e-05
ENST00000331343.11,25.234950236719005,-1.7107238868299688,0.32013337439480427,-5.343784883609853,9.1025586379603e-08,3.28646649548065e-05
ENST00000254035.9,1988.229104465885,0.5342800275508928,0.10025907010218203,5.328994444157175,9.875801741487572e-08,3.527509633801716e-05
ENST00000683261.1,68.17019498587321,-1.8641401999496985,0.34980015723828267,-5.3291576958321745,9.866929732249659e-08,3.527509633801716e-05
ENST00000366654.5,144.33619010927342,-0.9338872477108755,0.17596359664816993,-5.30727528591118,1.1127605854151586e-07,3.935935409924954e-05
ENST00000409257.10,54.14306504661912,0.9137378870672174,0.17217208955103383,5.307119693150816,1.1137105016555625e-07,3.935935409924954e-05
ENST00000564725.1,19.20716057447576,-2.990544276770101,0.5636167422347377,-5.305989074974259,1.1206366964551636e-07,3.938196150327306e-05
ENST00000327668.11,58.94514462347678,-1.729067431809796,0.3259258083412879,-5.305095170613894,1.1261422653419699e-07,3.938196150327306e-05
ENST00000594797.6,695.8829930095893,0.3734747553534711,0.07053427289107693,5.29494017653251,1.190553794354105e-07,4.1417630281295884e-05
ENST00000271375.7,179.39137096227228,0.6344661926607442,0.12006249372793797,5.284466222219629,1.2607180701273017e-07,4.3631296775172535e-05
ENST00000587871.1,29.783665885969935,1.3479060559362144,0.2551319695817979,5.283171913522433,1.269661426342803e-07,4.371431201605216e-05
ENST00000522677.8,27.322149430219394,2.101025287008545,0.39787938557043656,5.280558287774375,1.2879084306009396e-07,4.411515677618419e-05
ENST00000589419.2,37.158168623529406,6.32149904947822,1.19747631031271,5.279018044062532,1.2987801631310525e-07,4.426057255927323e-05
ENST00000054950.4,1667.650646963474,-0.5274602548754599,0.10004910481374675,-5.272013736228721,1.3493497606478789e-07,4.575049132625098e-05
ENST00000310954.7,13.740543906909705,-6.93117781290607,1.315195434417975,-5.270074417474986,1.3636845932112675e-07,4.577183352711226e-05
ENST00000515129.5,16.603020921929147,-7.215592840583075,1.3691147472500382,-5.270261572359871,1.3622948065607386e-07,4.577183352711226e-05
ENST00000381237.6,1052.3992164490348,0.34468829518257477,0.06542204903304522,5.268686937770321,1.3740306868444461e-07,4.588850284854397e-05
ENST00000369700.4,4705.963266249274,0.6704289751706722,0.12735110465015712,5.264414290024338,1.406369904641741e-07,4.673486139832857e-05
ENST00000295924.12,335.04778743320855,1.2888031354052012,0.2451269629976885,5.2576963368054885,1.458711244085178e-07,4.823423704823038e-05
ENST00000414676.6,35.20821632380109,-1.1875250368341683,0.22635379418064103,-5.2463226478389275,1.5516507147844507e-07,5.1054659036114583e-05
ENST00000224784.10,31824.018501910894,-0.6315799575153598,0.12045045591929754,-5.2434833284360645,1.5757305289228458e-07,5.134114387749881e-05
